timestamp,x,y,z
6450,-29.721,5.319,-9.716
6460,-29.721,5.317,-11.474
6470,-29.721,5.999,-12.878
6480,-29.721,6.629,-12.526
6490,-29.721,8.829,-10.089
6500,-29.721,12.207,-7.049
6510,-27.647,15.445,-3.561
6520,-19.08,16.743,-0.536
6530,-9.875,17.556,1.346
6540,0.953,16.478,2.789
6550,9.505,14.345,5.142
6560,9.505,13.544,8.279
6570,9.505,11.42,10.596
6580,9.505,7.689,12.865
6590,9.505,4.402,14.356
6600,9.505,1.415,16.047
6610,9.505,-0.719,17.773
6620,9.505,-1.567,17.43
6630,9.505,-1.44,15.085
6640,9.505,0.247,11.612
6650,9.505,1.909,7.748
6660,9.505,3.886,4.539
6670,9.505,5.42,1.924
6680,3.546,6.753,-0.105
6690,-3.712,7.943,-1.975
6700,-12.196,9.193,-2.562
6710,-19.712,9.671,-4.183
6720,-25.528,8.815,-7.246
6730,-29.721,8.38,-11.061
6740,-29.721,8.063,-15.416
6750,-29.721,7.758,-18.428
6760,-29.721,7.475,-19.241
6770,-29.721,7.734,-16.919
6780,-29.721,9.258,-12.625
6790,-29.721,12.277,-7.025
6800,-29.721,15.706,-3.139
6810,-25.526,16.769,-0.312
6820,-15.611,16.698,1.517
6830,-6.054,14.886,2.96
6840,1.977,12.767,5.065
6850,9.296,11.188,6.864
6860,9.505,8.816,8.625
6870,9.505,5.805,11.18
6880,9.505,5.173,14.248
6890,9.505,2.33,15.845
6900,9.505,-2.056,15.025
6910,9.505,-4.373,12.553
6920,9.505,-6.416,9.686
6930,9.505,-6.494,6.948
6940,9.505,-5.355,5.417
6950,9.505,-3.693,4.112
6960,9.505,-2.037,2.969
6970,4.18,1.182,1.486
6980,-0.799,3.707,0.421
6990,-5.36,6.059,-0.555
7000,-11.146,8.679,-0.373
7010,-18.519,11.041,0.334
7020,-24.953,11.692,-0.698
7030,-29.721,10.749,-2.969
7040,-29.721,10.959,-5.544
7050,-29.721,11.39,-8.274
7060,-29.721,10.955,-9.871
7070,-29.721,10.771,-10.552
7080,-29.721,11.198,-10.139
7090,-29.721,11.739,-9.404
7100,-27.494,11.828,-8.471
7110,-18.481,12.484,-5.32
7120,-7.301,12.721,-0.737
7130,7.148,12.729,5.353
7140,9.505,11.888,10.655
7150,9.505,9.736,13.652
7160,9.505,5.527,15.751
7170,9.505,3.148,15.68
7180,9.505,-0.195,13.496
7190,9.505,-3.228,10.842
7200,9.505,-4.568,9.14
7210,9.505,-5.111,7.9
7220,9.505,-4.012,6.788
7230,9.505,-2.607,5.55
7240,9.505,-1.23,4.31
7250,4.279,0.148,2.85
7260,-1.256,1.928,1.401
7270,-7.261,5.304,1.738
7280,-12.438,7.535,-0.4
7290,-17.402,8.597,-2.248
7300,-22.866,10.413,-3.551
7310,-27.854,12.281,-5.07
7320,-29.721,13.312,-7.123
7330,-29.721,13.287,-9.26
7340,-29.721,13.329,-11.672
7350,-29.721,12.345,-14.884
7360,-29.721,10.422,-17.655
7370,-29.721,10.128,-18.214
7380,-25.62,11.063,-14.934
7390,-14.57,13.404,-6.658
7400,-1.151,15.017,4.15
7410,9.505,14.224,13.81
7420,9.505,11.545,18.212
7430,9.505,8.19,18.212
7440,9.505,3.403,18.212
7450,9.505,-2.332,17.183
7460,9.505,-6.287,10.918
7470,9.505,-8.24,7.047
7480,9.505,-8.104,5.671
7490,9.505,-6.592,5.531
7500,9.505,-4.274,4.814
7510,9.505,-2.14,3.328
7520,5.272,-0.034,1.756
7530,-0.966,2.948,0.458
7540,-7.879,5.586,-0.794
7550,-15.116,7.268,-1.918
7560,-21.98,9.399,-2.46
7570,-28.275,12.232,-3.794
7580,-29.721,13.429,-5.799
7590,-29.721,12.498,-8.938
7600,-29.721,11.834,-11.116
7610,-29.721,10.635,-12.967
7620,-29.721,9.453,-14.333
7630,-29.721,9.643,-13.159
7640,-25.299,11.556,-9.194
7650,-8.844,14.649,-0.336
7660,8.807,15.226,10.294
7670,9.505,13.722,18.212
7680,9.505,10.288,18.212
7690,9.505,4.88,18.212
7700,9.505,0.084,11.181
7710,9.505,-3.639,4.756
7720,9.505,-5.895,1.314
7730,9.505,-6.537,0.897
7740,9.505,-5.625,1.838
7750,9.505,-3.782,2.597
7760,9.505,-1.619,2.64
7770,6.953,0.948,1.543
7780,-1.308,3.254,0.303
7790,-9.962,5.496,-0.412
7800,-18.124,7.126,-0.285
7810,-25.855,10.148,0.168
7820,-29.721,12.156,-0.601
7830,-29.721,12.647,-3.217
7840,-29.721,11.809,-7.36
7850,-29.721,10.592,-11.623
7860,-29.721,9.021,-15.156
7870,-29.721,8.335,-15.859
7880,-29.721,9.578,-13.494
7890,-21.197,12.824,-7.796
7900,-3.583,15.273,1.093
7910,9.505,15.138,11.718
7920,9.505,13.471,18.212
7930,9.505,8.36,18.212
7940,9.505,2.87,12.986
7950,9.505,-0.852,8.274
7960,9.505,-3.701,5.558
7970,9.505,-4.872,4.675
7980,9.505,-5.245,4.301
7990,9.505,-3.885,3.347
8000,9.505,-2.297,2.644
8010,9.225,-0.342,1.872
8020,2.953,1.572,1.027
8030,-3.447,3.911,0.491
8040,-10.579,6.022,0.42
8050,-17.688,7.719,0.5
8060,-24.06,9.198,0.338
8070,-29.416,10.73,-0.83
8080,-29.721,11.926,-2.2
8090,-29.721,11.592,-4.462
8100,-29.721,10.906,-8.379
8110,-29.721,9.513,-12.123
8120,-29.721,8.558,-14.036
8130,-29.721,9.17,-12.971
8140,-25.815,11.775,-8.703
8150,-12.532,14.47,-2.233
8160,4.921,15.602,5.607
8170,9.505,14.765,13.325
8180,9.505,12.097,18.189
8190,9.505,7.598,18.212
8200,9.505,3.881,17.758
8210,9.505,0.941,13.92
8220,9.505,-2.464,9.378
8230,9.505,-5.333,5.471
8240,9.505,-5.619,3.239
8250,9.505,-4.541,2.907
8260,9.505,-2.3,3.15
8270,9.505,0.088,2.655
8280,3.819,2.233,1.435
8290,-2.991,5.021,-0.119
8300,-10.337,7.074,-1.437
8310,-18.116,9.048,-1.204
8320,-25.578,12.277,-0.716
8330,-29.721,14.63,-1.39
8340,-29.721,15.339,-4.405
8350,-29.721,14.167,-7.999
8360,-29.721,12.54,-11.247
8370,-29.721,11.203,-14.408
8380,-29.721,9.875,-15.769
8390,-29.721,10.616,-14.107
8400,-21.096,13.154,-9.807
8410,-4.017,15.318,-0.927
8420,9.505,15.66,10.045
8430,9.505,13.699,18.212
8440,9.505,9.434,18.212
8450,9.505,3.74,17.072
8460,9.505,-1.557,9.57
8470,9.505,-5.728,2.798
8480,9.505,-8.4,-0.245
8490,9.505,-8.269,-0.467
8500,9.505,-6.974,1.01
8510,9.505,-4.704,2.559
8520,9.505,-2.333,2.859
8530,7.021,-0.356,2.146
8540,1.228,1.625,0.833
8550,-5.241,4.157,-0.279
8560,-13.101,7.16,-0.182
8570,-21.382,9.586,-0.11
8580,-29.306,12.231,-0.436
8590,-29.721,12.908,-1.979
8600,-29.721,12.21,-4.878
8610,-29.721,10.914,-7.79
8620,-29.721,9.764,-10.596
8630,-29.721,8.527,-12.596
8640,-29.721,9.222,-12.233
8650,-22.576,11.967,-9.301
8660,-5.795,14.279,-1.958
8670,9.505,16.055,9.179
8680,9.505,15.547,18.212
