timestamp,x,y,z
5750,0.148,-0.088,0.283
5760,0.171,-0.069,0.257
5770,0.222,-0.116,0.177
5780,0.256,-0.063,0.129
5790,0.189,-0.043,0.083
5800,0.164,-0.164,-0.023
5810,0.162,-0.217,-0.051
5820,0.06,-0.236,-0.112
5830,-0.052,-0.29,-0.206
5840,-0.127,-0.333,-0.248
5850,-0.171,-0.335,-0.263
5860,-0.172,-0.281,-0.23
5870,-0.188,-0.236,-0.179
5880,-0.033,-0.141,-0.162
5890,0.149,-0.099,-0.093
5900,0.216,-0.079,-0.119
5910,0.337,-0.042,-0.06
5920,0.393,0.017,0.06
5930,0.459,0.025,0.176
5940,0.567,0.102,0.2
5950,0.655,0.152,0.226
5960,0.608,0.198,0.213
5970,0.483,0.252,0.273
5980,0.425,0.265,0.235
5990,0.355,0.372,0.279
6000,0.364,0.424,0.212
6010,0.353,0.481,0.061
6020,0.295,0.425,-0.042
6030,0.173,0.325,-0.166
6040,0.028,0.122,-0.237
6050,-0.103,-0.009,-0.389
6060,-0.281,-0.14,-0.436
6070,-0.417,-0.284,-0.507
6080,-0.5,-0.446,-0.556
6090,-0.546,-0.54,-0.585
6100,-0.55,-0.624,-0.662
6110,-0.536,-0.652,-0.757
6120,-0.55,-0.642,-0.781
6130,-0.559,-0.642,-0.765
6140,-0.562,-0.59,-0.608
6150,-0.53,-0.507,-0.413
6160,-0.389,-0.403,-0.209
6170,-0.279,-0.321,-0.021
6180,-0.101,-0.093,0.137
6190,0.128,0.042,0.239
6200,0.33,0.159,0.356
6210,0.538,0.332,0.5
6220,0.728,0.433,0.599
6230,0.853,0.518,0.718
6240,1.017,0.54,0.754
6250,1.051,0.481,0.747
6260,0.984,0.376,0.682
6270,0.897,0.216,0.571
6280,0.69,0.076,0.48
6290,0.425,-0.062,0.383
6300,0.15,-0.146,0.358
6310,-0.13,-0.148,0.323
6320,-0.24,-0.158,0.241
6330,-0.294,-0.132,0.154
6340,-0.348,-0.098,-0.016
6350,-0.346,-0.092,-0.23
6360,-0.338,-0.104,-0.444
6370,-0.327,-0.141,-0.559
6380,-0.348,-0.206,-0.648
6390,-0.319,-0.229,-0.695
6400,-0.401,-0.258,-0.778
6410,-0.416,-0.297,-0.819
6420,-0.42,-0.28,-0.866
6430,-0.321,-0.238,-0.847
6440,-0.261,-0.237,-0.837
6450,-0.131,-0.161,-0.8
6460,-0.068,-0.133,-0.806
6470,0.079,-0.062,-0.808
6480,0.301,0.046,-0.647
6490,0.418,0.103,-0.522
6500,0.447,0.178,-0.279
6510,0.559,0.298,-0.043
6520,0.68,0.382,0.099
6530,0.729,0.524,0.196
6540,0.727,0.56,0.274
6550,0.765,0.582,0.337
6560,0.637,0.462,0.419
6570,0.523,0.273,0.504
6580,0.464,0.196,0.488
6590,0.328,0.064,0.465
6600,0.015,-0.071,0.49
6610,-0.163,-0.214,0.5
6620,-0.297,-0.402,0.513
6630,-0.475,-0.51,0.405
6640,-0.583,-0.631,0.245
6650,-0.676,-0.686,0.141
6660,-0.707,-0.777,-0.002
6670,-0.656,-0.834,-0.083
6680,-0.602,-0.851,-0.125
6690,-0.598,-0.827,-0.207
6700,-0.494,-0.727,-0.277
6710,-0.343,-0.625,-0.266
6720,-0.265,-0.44,-0.243
6730,-0.166,-0.251,-0.235
6740,0.012,-0.057,-0.254
6750,0.207,0.145,-0.248
6760,0.307,0.352,-0.326
6770,0.428,0.505,-0.278
6780,0.503,0.574,-0.139
6790,0.545,0.708,-0.004
6800,0.652,0.741,0.063
6810,0.77,0.697,0.14
6820,0.805,0.705,0.183
6830,0.816,0.672,0.207
6840,0.758,0.6,0.268
6850,0.72,0.547,0.31
